index,basin,start_date,end_date,basin_count,over_one_thousand,finished
0,basin_name,06/30/2008,12/31/2008,,,1
1,basin_name,01/01/2009,12/31/2009,,,1
2,basin_name,01/01/2010,12/31/2010,,,1
3,basin_name,01/01/2011,12/31/2011,,,1
4,basin_name,01/01/2012,12/31/2012,,,1
5,basin_name,01/01/2013,12/31/2013,,,1
6,basin_name,01/01/2014,12/31/2014,,,1
7,basin_name,01/01/2015,12/31/2015,,,1
8,basin_name,01/01/2016,12/31/2016,,,1
9,basin_name,01/01/2017,12/31/2017,,,0
10,basin_name,01/01/2018,12/31/2018,,,0
11,basin_name,01/01/2019,12/31/2019,,,0
12,basin_name,01/01/2020,12/31/2020,,,0
13,basin_name,01/01/2021,12/31/2021,,,0
14,basin_name,01/01/2022,12/31/2022,,,0
14,basin_name,01/01/2023,07/31/2023,,,0
